epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
160,3.038714,0.793646,0.6297,0.84778,1281024,364235,0.284331,0.617664,417.984,3064.77,0.00046011,0.0
161,3.024616,0.796699,0.63254,0.85194,1281024,362631,0.283079,0.616412,338.814,3780.9,0.0004548,0.0
162,3.02705,0.797571,0.63398,0.84968,1281024,361433,0.282144,0.615477,367.931,3481.69,0.0004495,0.0
163,3.018136,0.799097,0.63084,0.8515,1281024,360393,0.281332,0.614665,346.056,3701.78,0.00044421,0.0
164,3.004333,0.801651,0.63224,0.85066,1281024,358646,0.279968,0.613302,447.652,2861.65,0.00043892,0.0
165,2.999396,0.802485,0.63048,0.84892,1281024,357640,0.279183,0.612516,574.75,2228.84,0.00043364,0.0
166,2.996274,0.803731,0.62974,0.84792,1281024,356599,0.27837,0.611704,317.304,4037.21,0.00042836,0.0
167,2.981926,0.806651,0.63078,0.84886,1281024,355245,0.277313,0.610647,364.27,3516.69,0.0004231,0.0
168,2.979941,0.807332,0.63048,0.84834,1281024,354380,0.276638,0.609971,305.719,4190.2,0.00041784,0.0
169,2.978357,0.808929,0.636,0.85334,1281024,352800,0.275405,0.608738,306.501,4179.51,0.00041259,0.0
170,2.961971,0.81068,0.63448,0.85266,1281024,352086,0.274847,0.608181,499.511,2564.56,0.00040736,0.0
171,2.956758,0.812384,0.63596,0.85096,1281024,350265,0.273426,0.606759,527.98,2426.27,0.00040213,0.0
172,2.950256,0.81411,0.63566,0.85072,1281024,348560,0.272095,0.605428,296.192,4324.98,0.00039691,0.0
173,2.941428,0.81627,0.63744,0.85338,1281024,347280,0.271096,0.604429,281.226,4555.15,0.00039171,0.0
174,2.931913,0.817877,0.63714,0.85202,1281024,346364,0.270381,0.603714,374.886,3417.1,0.00038652,0.0
175,2.923432,0.819845,0.63768,0.85374,1281024,345350,0.269589,0.602922,329.814,3884.08,0.00038134,0.0
176,2.919091,0.820855,0.6397,0.85418,1281024,344154,0.268655,0.601989,312.024,4105.53,0.00037617,0.0
177,2.906096,0.8227,0.63396,0.85046,1281024,342616,0.267455,0.600788,300.807,4258.62,0.00037102,0.0
178,2.899416,0.824173,0.63518,0.84888,1281024,341082,0.266257,0.599591,523.267,2448.13,0.00036588,0.0
179,2.897729,0.825836,0.63582,0.84754,1281024,339663,0.26515,0.598483,522.611,2451.2,0.00036076,0.0
