epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
123,1.702315,0.826779,0.69368,0.88164,1281024,1281024,1.0,1.0,516.487,2480.26,0.00065451,0.0
124,1.699098,0.827848,0.69028,0.87804,1281024,1281024,1.0,1.0,521.29,2457.41,0.00064944,0.0
125,1.695274,0.828744,0.69276,0.87864,1281024,1281024,1.0,1.0,518.328,2471.46,0.00064435,0.0
126,1.694461,0.828891,0.69066,0.8765,1281024,1281024,1.0,1.0,527.258,2429.6,0.00063924,0.0
127,1.689565,0.830356,0.69416,0.88122,1281024,1281024,1.0,1.0,520.564,2460.84,0.00063412,0.0
128,1.684832,0.831321,0.69554,0.8821,1281024,1281024,1.0,1.0,520.51,2461.09,0.00062898,0.0
129,1.681959,0.832267,0.69502,0.88084,1281024,1281024,1.0,1.0,517.622,2474.82,0.00062383,0.0
130,1.678762,0.833243,0.6922,0.88038,1281024,1281024,1.0,1.0,516.485,2480.27,0.00061866,0.0
131,1.676203,0.834051,0.6913,0.87946,1281024,1281024,1.0,1.0,529.277,2420.33,0.00061348,0.0
132,1.67343,0.834604,0.69282,0.879,1281024,1281024,1.0,1.0,521.229,2457.7,0.00060829,0.0
133,1.668533,0.83591,0.6912,0.87894,1281024,1281024,1.0,1.0,519.067,2467.93,0.00060309,0.0
134,1.664789,0.837068,0.69406,0.87904,1281024,1281024,1.0,1.0,526.738,2432.0,0.00059787,0.0
135,1.659886,0.838638,0.69228,0.87838,1281024,1281024,1.0,1.0,517.333,2476.21,0.00059264,0.0
136,1.656165,0.839246,0.69308,0.87954,1281024,1281024,1.0,1.0,509.694,2513.32,0.00058741,0.0
137,1.653913,0.840309,0.69426,0.8807,1281024,1281024,1.0,1.0,525.109,2439.54,0.00058216,0.0
138,1.651677,0.840258,0.69442,0.87862,1281024,1281024,1.0,1.0,520.775,2459.84,0.0005769,0.0
139,1.647223,0.842155,0.69486,0.88094,1281024,1281024,1.0,1.0,521.663,2455.66,0.00057164,0.0
140,1.642293,0.843184,0.69662,0.88118,1281024,1281024,1.0,1.0,520.656,2460.4,0.00056636,0.0
141,1.638976,0.844108,0.69538,0.88124,1281024,1281024,1.0,1.0,535.356,2392.85,0.00056108,0.0
142,1.637627,0.844444,0.69486,0.88228,1281024,1281024,1.0,1.0,532.068,2407.63,0.00055579,0.0
143,1.63385,0.845464,0.69594,0.88214,1281024,1281024,1.0,1.0,521.633,2455.8,0.0005505,0.0
144,1.629878,0.84668,0.69938,0.88224,1281024,1281024,1.0,1.0,519.168,2467.46,0.0005452,0.0
145,1.624769,0.847926,0.69478,0.88216,1281024,1281024,1.0,1.0,518.421,2471.01,0.00053989,0.0
146,1.622476,0.849014,0.69246,0.88054,1281024,1281024,1.0,1.0,517.737,2474.28,0.00053458,0.0
147,1.618509,0.849798,0.698,0.88026,1281024,1281024,1.0,1.0,519.227,2467.17,0.00052927,0.0
148,1.616115,0.849981,0.69576,0.88082,1281024,1281024,1.0,1.0,519.175,2467.42,0.00052395,0.0
149,1.609309,0.852214,0.69714,0.88142,1281024,1281024,1.0,1.0,526.798,2431.72,0.00051863,0.0
150,1.608875,0.852089,0.68992,0.87492,1281024,1281024,1.0,1.0,547.948,2337.86,0.00051331,0.0
151,1.603749,0.853703,0.69566,0.88138,1281024,1281024,1.0,1.0,523.233,2448.28,0.00050799,0.0
152,1.60122,0.853744,0.69722,0.88162,1281024,1281024,1.0,1.0,522.556,2451.46,0.00050266,0.0
153,1.596296,0.855498,0.6969,0.88144,1281024,1281024,1.0,1.0,519.167,2467.46,0.00049734,0.0
154,1.593273,0.856758,0.69848,0.88178,1281024,1281024,1.0,1.0,519.324,2466.72,0.00049201,0.0
