epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
139,2.315882,0.820515,0.65456,0.85784,1281024,659524,0.514841,0.848175,319.001,4015.74,0.00057164,0.0
140,2.305065,0.822327,0.65634,0.86002,1281024,660635,0.515709,0.849042,394.227,3249.46,0.00056636,0.0
141,2.291915,0.82391,0.6564,0.85884,1281024,661947,0.516733,0.850066,839.588,1525.78,0.00056108,0.0
142,2.28511,0.825088,0.65608,0.85976,1281024,662193,0.516925,0.850258,544.73,2351.67,0.00055579,0.0
143,2.277865,0.826444,0.65744,0.8585,1281024,663175,0.517691,0.851025,435.091,2944.27,0.0005505,0.0
144,2.269922,0.828159,0.65512,0.8607,1281024,663758,0.518146,0.85148,414.875,3087.73,0.0005452,0.0
145,2.258484,0.829593,0.6595,0.86084,1281024,664907,0.519043,0.852377,602.232,2127.13,0.00053989,0.0
146,2.243593,0.831308,0.6595,0.86066,1281024,666556,0.520331,0.853664,503.753,2542.96,0.00053458,0.0
147,2.237539,0.83308,0.6629,0.86198,1281024,667310,0.520919,0.854253,587.037,2182.19,0.00052927,0.0
148,2.229092,0.833644,0.65454,0.85656,1281024,667867,0.521354,0.854687,318.085,4027.3,0.00052395,0.0
149,2.221173,0.835194,0.6588,0.86,1281024,668807,0.522088,0.855421,352.816,3630.85,0.00051863,0.0
150,2.208824,0.837209,0.65884,0.86052,1281024,670314,0.523264,0.856598,355.512,3603.32,0.00051331,0.0
151,2.199515,0.838182,0.66062,0.86096,1281024,670831,0.523668,0.857001,340.606,3761.01,0.00050799,0.0
152,2.189672,0.839873,0.66542,0.86342,1281024,671903,0.524505,0.857838,319.659,4007.46,0.00050266,0.0
153,2.180317,0.841321,0.6601,0.85918,1281024,672752,0.525167,0.858501,316.628,4045.83,0.00049734,0.0
154,2.173694,0.842604,0.66018,0.86172,1281024,673635,0.525857,0.85919,468.032,2737.04,0.00049201,0.0
155,2.165629,0.843461,0.66298,0.86126,1281024,674526,0.526552,0.859886,367.434,3486.4,0.00048669,0.0
156,2.156287,0.845154,0.66312,0.86028,1281024,675602,0.527392,0.860725,426.611,3002.79,0.00048137,0.0
157,2.149446,0.846375,0.66472,0.86286,1281024,676106,0.527786,0.861119,357.875,3579.53,0.00047605,0.0
158,2.133932,0.848658,0.66558,0.86384,1281024,677964,0.529236,0.862569,359.392,3564.42,0.00047073,0.0
159,2.128289,0.849436,0.67046,0.86384,1281024,678485,0.529643,0.862976,508.02,2521.6,0.00046542,0.0
160,2.116625,0.85109,0.66696,0.86302,1281024,679856,0.530713,0.864046,418.807,3058.75,0.00046011,0.0
161,2.109527,0.852285,0.66578,0.86222,1281024,680625,0.531313,0.864647,339.171,3776.93,0.0004548,0.0
162,2.103471,0.853441,0.6694,0.86764,1281024,681047,0.531643,0.864976,368.284,3478.36,0.0004495,0.0
163,2.094006,0.85435,0.66572,0.86374,1281024,682206,0.532547,0.865881,346.555,3696.45,0.00044421,0.0
164,2.082226,0.856182,0.66742,0.86388,1281024,683378,0.533462,0.866796,448.006,2859.39,0.00043892,0.0
165,2.073361,0.857909,0.6691,0.86374,1281024,684529,0.534361,0.867694,575.849,2224.58,0.00043364,0.0
166,2.066725,0.85863,0.66458,0.86216,1281024,685051,0.534768,0.868102,317.983,4028.59,0.00042836,0.0
167,2.050193,0.861008,0.66698,0.86358,1281024,687140,0.536399,0.869732,365.35,3506.29,0.0004231,0.0
168,2.047276,0.861256,0.66884,0.86152,1281024,687178,0.536429,0.869762,306.338,4181.74,0.00041784,0.0
169,2.042427,0.862791,0.66926,0.86516,1281024,687870,0.536969,0.870302,306.959,4173.28,0.00041259,0.0
170,2.032924,0.863618,0.67152,0.86416,1281024,688715,0.537628,0.870962,499.613,2564.03,0.00040736,0.0
171,2.026734,0.864918,0.66882,0.86484,1281024,689691,0.53839,0.871724,528.544,2423.69,0.00040213,0.0
172,2.015614,0.866558,0.6694,0.86606,1281024,690878,0.539317,0.87265,297.056,4312.4,0.00039691,0.0
173,2.007706,0.86754,0.66744,0.86346,1281024,691667,0.539933,0.873266,281.868,4544.76,0.00039171,0.0
174,1.998416,0.86933,0.67128,0.86528,1281024,692649,0.540699,0.874033,375.388,3412.54,0.00038652,0.0
175,1.989503,0.870234,0.67236,0.86576,1281024,693975,0.541735,0.875068,330.478,3876.28,0.00038134,0.0
176,1.982953,0.871421,0.67352,0.86906,1281024,694379,0.54205,0.875383,312.633,4097.54,0.00037617,0.0
177,1.972802,0.873371,0.67036,0.86448,1281024,695871,0.543215,0.876548,301.277,4251.98,0.00037102,0.0
178,1.963951,0.874233,0.67078,0.86416,1281024,697034,0.544123,0.877456,523.672,2446.23,0.00036588,0.0
179,1.960271,0.875151,0.6747,0.86954,1281024,697404,0.544411,0.877745,522.976,2449.49,0.00036076,0.0
180,1.953699,0.876148,0.67702,0.869,1281024,697878,0.544781,0.878115,603.625,2122.22,0.00035565,0.0
181,1.945509,0.877478,0.67082,0.86628,1281024,698965,0.54563,0.878963,522.788,2450.37,0.00035056,0.0
182,1.933313,0.879465,0.67988,0.86944,1281024,700772,0.54704,0.880374,512.521,2499.46,0.00034549,0.0
183,1.927363,0.880498,0.67546,0.86674,1281024,701269,0.547428,0.880762,514.792,2488.43,0.00034044,0.0
184,1.920075,0.881328,0.6755,0.86838,1281024,701932,0.547946,0.881279,520.682,2460.28,0.0003354,0.0
185,1.912926,0.882498,0.67542,0.86798,1281024,702944,0.548736,0.882069,519.279,2466.93,0.00033038,0.0
186,1.90299,0.884028,0.67652,0.86886,1281024,704295,0.549791,0.883124,515.348,2485.75,0.00032538,0.0
187,1.896882,0.884729,0.6762,0.8687,1281024,704873,0.550242,0.883575,518.502,2470.63,0.0003204,0.0
188,1.886995,0.886392,0.67998,0.86908,1281024,706067,0.551174,0.884507,513.544,2494.48,0.00031544,0.0
189,1.88062,0.887251,0.67662,0.86838,1281024,706876,0.551805,0.885139,513.879,2492.85,0.0003105,0.0
190,1.874734,0.888427,0.67818,0.86916,1281024,707562,0.552341,0.885674,577.024,2220.05,0.00030559,0.0
191,1.863687,0.890097,0.68178,0.87122,1281024,708958,0.553431,0.886764,515.277,2486.09,0.00030069,0.0
192,1.857277,0.8912,0.68254,0.87134,1281024,709860,0.554135,0.887468,508.883,2517.33,0.00029582,0.0
193,1.847369,0.892165,0.67708,0.871,1281024,711076,0.555084,0.888417,509.957,2512.02,0.00029097,0.0
194,1.841114,0.893507,0.68122,0.87008,1281024,711953,0.555769,0.889102,515.408,2485.46,0.00028615,0.0
195,1.837857,0.893961,0.67868,0.86982,1281024,712346,0.556075,0.889409,515.329,2485.84,0.00028135,0.0
196,1.82442,0.895835,0.67718,0.86746,1281024,713986,0.557356,0.890689,510.957,2507.11,0.00027657,0.0
197,1.8194,0.896537,0.68192,0.87074,1281024,714641,0.557867,0.8912,517.253,2476.59,0.00027182,0.0
198,1.813801,0.897497,0.68374,0.87128,1281024,715295,0.558378,0.891711,515.221,2486.36,0.00026709,0.0
199,1.803986,0.89885,0.68178,0.8707,1281024,716560,0.559365,0.892698,514.489,2489.9,0.0002624,0.0
200,1.800502,0.89938,0.67942,0.87186,1281024,716774,0.559532,0.892865,537.879,2381.62,0.00025772,0.0
201,1.79262,0.900893,0.68272,0.8715,1281024,718005,0.560493,0.893826,505.694,2533.2,0.00025308,0.0
202,1.780866,0.902434,0.68492,0.87316,1281024,719793,0.561889,0.895222,502.645,2548.57,0.00024846,0.0
203,1.774866,0.903331,0.6862,0.87302,1281024,720740,0.562628,0.895961,511.321,2505.32,0.00024388,0.0
204,1.766052,0.904444,0.68652,0.87356,1281024,721588,0.56329,0.896623,515.223,2486.35,0.00023932,0.0
205,1.761601,0.905451,0.68834,0.87442,1281024,722322,0.563863,0.897196,519.462,2466.06,0.00023479,0.0
206,1.752039,0.90675,0.68678,0.87326,1281024,723467,0.564757,0.89809,518.571,2470.3,0.00023029,0.0
207,1.746688,0.907537,0.68552,0.8735,1281024,724109,0.565258,0.898591,519.542,2465.68,0.00022582,0.0
208,1.741351,0.908361,0.68438,0.87162,1281024,724871,0.565853,0.899186,519.615,2465.33,0.00022139,0.0
209,1.730596,0.909991,0.68544,0.87192,1281024,726473,0.567103,0.900437,523.049,2449.15,0.00021698,0.0
